time, Quad.MagYaw, Quad.Est.Yaw, Quad.Yaw
2.255019,nan,-0.020487,0.001345
2.260019,-0.144487,-0.027865,0.001289
2.265018,nan,-0.028149,0.001239
2.270018,0.030670,-0.023742,0.001196
2.275017,nan,-0.025084,0.001156
2.280017,0.087103,-0.017199,0.001115
2.285017,nan,-0.014672,0.001068
2.290016,-0.109445,-0.023813,0.001022
2.295016,nan,-0.019488,0.000978
2.300016,0.089156,-0.012265,0.000933
2.305015,nan,-0.011479,0.000886
2.310015,-0.089765,-0.016363,0.000833
2.315015,nan,-0.015209,0.000777
2.320014,0.124161,-0.002869,0.000724
2.325014,nan,-0.001746,0.000676
2.330014,0.074205,0.003212,0.000630
2.335013,nan,0.003607,0.000583
2.340013,0.009189,0.006252,0.000531
2.345012,nan,0.007197,0.000480
2.350012,-0.106308,-0.004166,0.000429
2.355012,nan,-0.006955,0.000380
2.360011,0.000531,-0.005773,0.000338
2.365011,nan,-0.005506,0.000306
2.370011,0.032964,-0.003735,0.000279
2.375010,nan,-0.003459,0.000255
2.380010,0.126150,0.006649,0.000232
2.385010,nan,0.006414,0.000213
2.390009,-0.243073,-0.014262,0.000201
2.395009,nan,-0.013749,0.000197
2.400008,0.110068,-0.007045,0.000201
2.405008,nan,-0.007642,0.000213
2.410008,-0.036554,-0.009980,0.000230
2.415007,nan,-0.007331,0.000247
2.420007,-0.158126,-0.015941,0.000267
2.425007,nan,-0.019388,0.000289
2.430006,-0.041304,-0.022283,0.000308
2.435006,nan,-0.021965,0.000323
2.440006,-0.191546,-0.035523,0.000331
2.445005,nan,-0.035228,0.000337
2.450005,-0.063592,-0.035257,0.000343
2.455004,nan,-0.033247,0.000351
2.460004,0.169841,-0.017622,0.000359
2.465004,nan,-0.017018,0.000365
2.470003,-0.012262,-0.015412,0.000367
2.475003,nan,-0.014547,0.000363
2.480003,0.073766,-0.007640,0.000356
2.485002,nan,-0.007360,0.000348
2.490002,-0.158800,-0.019560,0.000340
2.495002,nan,-0.016684,0.000330
2.500001,0.095874,-0.006010,0.000313
2.505001,nan,-0.006765,0.000288
2.510000,0.057142,-0.004006,0.000258
2.515000,nan,-0.003794,0.000231
2.520000,0.043736,0.000973,0.000210
2.524999,nan,-0.000842,0.000193
2.529999,-0.051745,-0.003426,0.000180
2.534999,nan,-0.004559,0.000167
2.539998,0.035566,-0.002034,0.000155
2.544998,nan,-0.001520,0.000142
2.549998,0.174383,0.011664,0.000126
2.554997,nan,0.011055,0.000112
2.559997,0.009616,0.011526,0.000096
2.564996,nan,0.012201,0.000081
2.569996,0.019692,0.012062,0.000068
2.574996,nan,0.011411,0.000057
2.579995,-0.140615,-0.002486,0.000052
2.584995,nan,-0.002955,0.000048
2.589995,-0.043604,-0.004077,0.000042
2.594994,nan,-0.003453,0.000038
2.599994,0.132386,0.007489,0.000036
2.604994,nan,0.008946,0.000029
2.609993,-0.066162,0.002051,0.000016
2.614993,nan,0.004951,-0.000002
2.619992,0.105776,0.013979,-0.000024
2.624992,nan,0.018096,-0.000052
2.629992,0.134225,0.025996,-0.000089
2.634991,nan,0.025345,-0.000133
2.639991,0.217476,0.041482,-0.000182
2.644991,nan,0.039685,-0.000234
2.649990,-0.016199,0.035527,-0.000286
2.654990,nan,0.036052,-0.000336
2.659990,0.110356,0.041943,-0.000384
2.664989,nan,0.041605,-0.000432
2.669989,0.118299,0.045711,-0.000479
2.674989,nan,0.047267,-0.000527
2.679988,-0.114827,0.037737,-0.000570
2.684988,nan,0.037112,-0.000603
2.689987,0.044635,0.040697,-0.000628
2.694987,nan,0.036589,-0.000648
2.699987,0.022135,0.034563,-0.000664
2.704986,nan,0.038519,-0.000676
2.709986,-0.092290,0.028493,-0.000686
2.714986,nan,0.030852,-0.000694
2.719985,0.099010,0.037284,-0.000703
2.724985,nan,0.037488,-0.000711
2.729985,-0.114875,0.024969,-0.000718
2.734984,nan,0.026450,-0.000724
2.739984,0.051705,0.028622,-0.000728
2.744983,nan,0.027528,-0.000736
2.749983,0.060229,0.028878,-0.000751
2.754983,nan,0.027781,-0.000771
2.759982,-0.079202,0.017524,-0.000795
2.764982,nan,0.016035,-0.000822
2.769982,0.038589,0.019275,-0.000851
2.774981,nan,0.018967,-0.000874
2.779981,-0.095832,0.008658,-0.000890
2.784981,nan,0.008128,-0.000899
2.789980,-0.125617,-0.002664,-0.000899
2.794980,nan,-0.004654,-0.000892
2.799979,-0.179031,-0.017316,-0.000877
2.804979,nan,-0.016328,-0.000850
2.809979,0.202526,0.000363,-0.000812
2.814978,nan,-0.002398,-0.000769
2.819978,0.015888,-0.003349,-0.000723
2.824978,nan,-0.002707,-0.000675
2.829977,-0.084870,-0.007801,-0.000620
2.834977,nan,-0.007987,-0.000560
2.839977,-0.170074,-0.022798,-0.000501
2.844976,nan,-0.021371,-0.000448
2.849976,0.107598,-0.011596,-0.000401
2.854975,nan,-0.013062,-0.000362
2.859975,0.074891,-0.006386,-0.000335
2.864975,nan,-0.005811,-0.000315
2.869974,0.150044,0.006726,-0.000304
2.874974,nan,0.005300,-0.000302
2.879974,0.078932,0.010091,-0.000309
2.884973,nan,0.006691,-0.000322
2.889973,0.052753,0.009044,-0.000340
2.894973,nan,0.007576,-0.000360
2.899972,-0.151919,-0.003614,-0.000385
2.904972,nan,-0.006090,-0.000413
2.909971,-0.243259,-0.024056,-0.000445
2.914971,nan,-0.022160,-0.000477
2.919971,-0.047540,-0.025297,-0.000507
2.924970,nan,-0.022022,-0.000541
2.929970,0.015578,-0.018790,-0.000578
2.934970,nan,-0.019472,-0.000616
2.939969,-0.002655,-0.017827,-0.000656
2.944969,nan,-0.016970,-0.000695
2.949969,-0.040963,-0.019189,-0.000731
2.954968,nan,-0.018843,-0.000762
2.959968,0.038821,-0.013921,-0.000787
2.964967,nan,-0.012606,-0.000806
2.969967,0.058541,-0.006337,-0.000816
2.974967,nan,-0.008617,-0.000812
2.979966,0.112143,-0.001612,-0.000796
2.984966,nan,-0.002116,-0.000769
2.989966,0.100568,0.004321,-0.000735
2.994965,nan,0.005081,-0.000697
2.999965,0.268053,0.025591,-0.000659
3.004965,nan,0.028427,-0.000625
3.009964,0.024164,0.027814,-0.000592
3.014964,nan,0.029006,-0.000558
3.019964,0.018297,0.025736,-0.000521
3.024963,nan,0.022888,-0.000476
3.029963,0.033920,0.025147,-0.000414
3.034962,nan,0.026549,-0.000329
3.039962,-0.022555,0.022600,-0.000215
3.044962,nan,0.021972,-0.000070
3.049961,0.118689,0.027934,0.000114
3.054961,nan,0.027969,0.000345
3.059961,0.027414,0.029034,0.000629
3.064960,nan,0.028981,0.000974
3.069960,0.093256,0.036972,0.001386
3.074960,nan,0.036652,0.001870
3.079959,-0.053398,0.027369,0.002430
3.084959,nan,0.029673,0.003072
3.089958,-0.083983,0.024028,0.003801
3.094958,nan,0.023158,0.004622
3.099958,0.021793,0.024716,0.005540
3.104957,nan,0.026247,0.006558
3.109957,0.226983,0.044170,0.007680
3.114957,nan,0.046957,0.008912
3.119956,0.075104,0.050422,0.010261
3.124956,nan,0.051066,0.011730
3.129956,0.221996,0.067139,0.013314
3.134955,nan,0.067573,0.015018
3.139955,0.154522,0.075725,0.016846
3.144954,nan,0.078180,0.018799
3.149954,0.102317,0.082699,0.020880
3.154954,nan,0.091084,0.023090
3.159953,0.066463,0.089027,0.025428
3.164953,nan,0.090353,0.027890
3.169953,-0.181466,0.069990,0.030472
3.174952,nan,0.071214,0.033172
3.179952,0.169375,0.080829,0.035988
3.184952,nan,0.082825,0.038928
3.189951,-0.159029,0.067583,0.041991
3.194951,nan,0.073419,0.045178
3.199950,0.037117,0.074306,0.048486
3.204950,nan,0.075145,0.051910
3.209950,0.130747,0.083268,0.055448
3.214949,nan,0.083938,0.059097
3.219949,0.135506,0.092965,0.062851
3.224949,nan,0.101859,0.066707
3.229948,0.067451,0.102551,0.070667
3.234948,nan,0.108818,0.074730
3.239948,0.080265,0.107876,0.078887
3.244947,nan,0.112554,0.083135
3.249947,0.060763,0.112972,0.087475
3.254946,nan,0.119614,0.091906
3.259946,0.157592,0.126567,0.096424
3.264946,nan,0.132141,0.101019
3.269945,0.031056,0.125269,0.105680
3.274945,nan,0.134301,0.110394
3.279945,0.094812,0.134898,0.115148
3.284944,nan,0.139637,0.119936
3.289944,0.206422,0.148658,0.124753
3.294944,nan,0.152887,0.129596
3.299943,0.218891,0.161244,0.134462
3.304943,nan,0.164091,0.139349
3.309942,0.273809,0.179165,0.144263
3.314942,nan,0.186149,0.149205
3.319942,-0.114255,0.165360,0.154168
3.324941,nan,0.172773,0.159142
3.329941,0.458717,0.197697,0.164129
3.334941,nan,0.200661,0.169126
3.339940,0.109304,0.197289,0.174136
3.344940,nan,0.203581,0.179157
3.349940,0.176233,0.206616,0.184190
3.354939,nan,0.207932,0.189235
3.359939,0.169258,0.209906,0.194289
3.364938,nan,0.216317,0.199349
3.369938,0.300403,0.226379,0.204417
3.374938,nan,0.230962,0.209492
3.379937,0.099619,0.224296,0.214571
3.384937,nan,0.229832,0.219657
3.389937,0.260435,0.237170,0.224755
3.394936,nan,0.244051,0.229867
3.399936,0.236698,0.246420,0.235002
3.404936,nan,0.255634,0.240164
3.409935,0.387817,0.271725,0.245352
3.414935,nan,0.275813,0.250565
3.419935,0.228871,0.276131,0.255801
3.424934,nan,0.280755,0.261057
3.429934,0.191156,0.276586,0.266334
3.434933,nan,0.278961,0.271636
3.439933,0.157504,0.275585,0.276963
3.444933,nan,0.283217,0.282314
3.449932,0.494536,0.303186,0.287700
3.454932,nan,0.310047,0.293118
3.459932,0.176089,0.302373,0.298570
