time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
2.759982,0.018309,0.027724
2.764982,0.016851,0.028408
2.769982,0.020114,0.027724
2.774981,0.019837,0.028408
2.779981,0.009543,0.027724
2.784981,0.009026,0.028408
2.789980,-0.001764,0.027724
2.794980,-0.003759,0.028408
2.799979,-0.016432,0.027724
2.804979,-0.015471,0.028408
2.809979,0.001191,0.027724
2.814978,-0.001620,0.028408
2.819978,-0.002608,0.027724
2.824978,-0.002022,0.028408
2.829977,-0.007158,0.027724
2.834977,-0.007415,0.028408
2.839977,-0.022274,0.027724
2.844976,-0.020912,0.028408
2.849976,-0.011177,0.027724
2.854975,-0.012693,0.028408
2.859975,-0.006042,0.027724
2.864975,-0.005492,0.028408
2.869974,0.007033,0.027724
2.874974,0.005601,0.028408
2.879974,0.010397,0.027724
2.884973,0.007010,0.028408
2.889973,0.009376,0.027724
2.894973,0.007932,0.028408
2.899972,-0.003240,0.027724
2.904972,-0.005683,0.028408
2.909971,-0.023624,0.027724
2.914971,-0.021690,0.028408
2.919971,-0.024803,0.027724
2.924970,-0.021488,0.028408
2.929970,-0.018227,0.027724
2.934970,-0.018864,0.028408
2.939969,-0.017188,0.027724
2.944969,-0.016283,0.028408
2.949969,-0.018472,0.027724
2.954968,-0.018087,0.028408
2.959968,-0.013143,0.027724
2.964967,-0.011804,0.028408
2.969967,-0.005524,0.027724
2.974967,-0.007803,0.028408
2.979966,-0.000809,0.027724
2.984966,-0.001341,0.028408
2.989966,0.005070,0.027724
2.994965,0.005785,0.028408
2.999965,0.026265,0.027724
3.004965,0.029058,0.028408
3.009964,0.028419,0.027724
3.014964,0.029571,0.028408
3.019964,0.026272,0.027724
3.024963,0.023374,0.028408
3.029963,0.025588,0.027724
3.034962,0.026897,0.028408
3.039962,0.022864,0.027724
3.044962,0.022074,0.028408
3.049961,0.027898,0.027724
3.054961,0.027675,0.028408
3.059961,0.028526,0.027724
3.064960,0.028081,0.028408
3.069960,0.035760,0.027724
3.074960,0.034885,0.028408
3.079959,0.025173,0.027724
3.084959,0.026736,0.028408
3.089958,0.020529,0.027724
3.094958,0.018707,0.028408
3.099958,0.019555,0.027724
3.104957,0.019901,0.028408
3.109957,0.036951,0.027724
3.114957,0.038301,0.028408
3.119956,0.040715,0.027724
3.124956,0.039640,0.028408
3.129956,0.054473,0.027724
3.134955,0.052906,0.028408
3.139955,0.059626,0.027724
3.144954,0.059782,0.028408
3.149954,0.062667,0.027724
3.154954,0.068446,0.028408
3.159953,0.064550,0.027724
3.164953,0.062965,0.028408
3.169953,0.040565,0.027724
3.174952,0.038591,0.028408
3.179952,0.045982,0.027724
3.184952,0.044496,0.028408
3.189951,0.026832,0.027724
3.194951,0.028887,0.028408
3.199950,0.027157,0.027724
3.204950,0.023929,0.028408
3.209950,0.029248,0.027724
3.214949,0.025579,0.028408
3.219949,0.031628,0.027724
3.224949,0.035931,0.028408
3.229948,0.033480,0.027724
3.234948,0.034909,0.028408
3.239948,0.030663,0.027724
3.244947,0.030275,0.028408
3.249947,0.027244,0.027724
3.254946,0.028601,0.028408
3.259946,0.031960,0.027724
3.264946,0.032047,0.028408
3.269945,0.021461,0.027724
3.274945,0.024853,0.028408
3.279945,0.021656,0.027724
3.284944,0.020661,0.028408
3.289944,0.025835,0.027724
3.294944,0.024262,0.028408
3.299943,0.028731,0.027724
3.304943,0.025722,0.028408
3.309942,0.036872,0.027724
3.314942,0.037935,0.028408
3.319942,0.013179,0.027724
3.324941,0.014627,0.028408
3.329941,0.035564,0.027724
3.334941,0.032535,0.028408
3.339940,0.025159,0.027724
3.344940,0.025430,0.028408
3.349940,0.024441,0.027724
3.354939,0.019707,0.028408
3.359939,0.017639,0.027724
3.364938,0.017981,0.028408
3.369938,0.023990,0.027724
3.374938,0.022486,0.028408
3.379937,0.011758,0.027724
3.384937,0.011192,0.028408
3.389937,0.014455,0.027724
3.394936,0.015209,0.028408
3.399936,0.013476,0.027724
3.404936,0.016504,0.028408
3.409935,0.028451,0.027724
3.414935,0.026293,0.028408
3.419935,0.022426,0.027724
3.424934,0.020751,0.028408
3.429934,0.012366,0.027724
3.434933,0.008387,0.028408
3.439933,0.000756,0.027724
3.444933,0.001976,0.028408
3.449932,0.017644,0.027724
3.454932,0.018014,0.028408
3.459932,0.005988,0.027724
3.464931,0.006618,0.028408
3.469931,0.020377,0.027724
3.474931,0.019256,0.028408
3.479930,0.021595,0.027724
3.484930,0.022083,0.028408
3.489929,0.021435,0.027724
3.494929,0.021263,0.028408
3.499929,0.012336,0.027724
3.504928,0.013129,0.028408
3.509928,0.016228,0.027724
3.514928,0.017411,0.028408
3.519927,0.009886,0.027724
3.524927,0.011390,0.028408
3.529927,0.004210,0.027724
3.534926,0.003194,0.028408
3.539926,0.004746,0.027724
3.544925,0.006559,0.028408
3.549925,0.003535,0.027724
3.554925,0.004418,0.028408
3.559924,0.005726,0.027724
3.564924,0.009046,0.028408
3.569924,0.006130,0.027724
3.574923,0.006635,0.028408
3.579923,0.004155,0.027724
3.584923,0.006049,0.028408
3.589922,-0.001072,0.027724
3.594922,0.000991,0.028408
3.599921,0.003521,0.027724
3.604921,0.004630,0.028408
3.609921,0.008846,0.027724
3.614920,0.006483,0.028408
3.619920,0.008899,0.027724
3.624920,0.010795,0.028408
3.629919,0.003742,0.027724
3.634919,0.003780,0.028408
3.639919,0.011969,0.027724
3.644918,0.013414,0.028408
