time, Quad.Est.E.Yaw, Quad.Est.S.Yaw
3.439933,-0.000054,0.053329
3.444933,0.001165,0.053335
3.449932,0.000901,0.053339
3.454932,0.001271,0.053344
3.459932,-0.000240,0.053348
3.464931,0.000390,0.053354
3.469931,-0.000779,0.053357
3.474931,-0.001900,0.053363
3.479930,-0.000712,0.053367
3.484930,-0.000225,0.053372
3.489929,-0.001361,0.053376
3.494929,-0.001533,0.053382
3.499929,-0.000017,0.053385
3.504928,0.000775,0.053391
3.509928,0.000528,0.053395
3.514928,0.001711,0.053400
3.519927,0.000855,0.053404
3.524927,0.002360,0.053410
3.529927,0.001266,0.053414
3.534926,0.000249,0.053419
3.539926,-0.001664,0.053423
3.544925,0.000149,0.053428
3.549925,-0.000803,0.053432
3.554925,0.000080,0.053438
3.559924,0.001530,0.053442
3.564924,0.004850,0.053447
3.569924,0.002803,0.053451
3.574923,0.003307,0.053457
3.579923,0.003337,0.053460
3.584923,0.005231,0.053466
3.589922,0.004219,0.053470
3.594922,0.006282,0.053475
3.599921,0.008516,0.053479
3.604921,0.009625,0.053485
3.609921,0.009340,0.053488
3.614920,0.006978,0.053494
3.619920,0.006432,0.053498
3.624920,0.008329,0.053503
3.629919,0.007005,0.053507
3.634919,0.007044,0.053513
3.639919,0.007468,0.053516
3.644918,0.008913,0.053522
3.649918,0.009697,0.053526
3.654917,0.010474,0.053531
3.659917,0.007770,0.053535
3.664917,0.008597,0.053541
3.669916,0.012261,0.053544
3.674916,0.015224,0.053550
3.679916,0.018333,0.053554
3.684915,0.019304,0.053559
3.689915,0.019254,0.053563
3.694915,0.018717,0.053569
3.699914,0.021049,0.053572
3.704914,0.021974,0.053578
3.709913,0.023559,0.053582
3.714913,0.023627,0.053587
3.719913,0.024220,0.053591
3.724912,0.024740,0.053597
3.729912,0.020784,0.053600
3.734912,0.022896,0.053606
3.739911,0.023548,0.053610
3.744911,0.021688,0.053615
3.749911,0.021780,0.053619
3.754910,0.021372,0.053625
3.759910,0.021033,0.053628
3.764910,0.021565,0.053634
3.769909,0.021185,0.053638
3.774909,0.017727,0.053643
3.779908,0.018771,0.053647
3.784908,0.017349,0.053653
3.789908,0.015985,0.053656
3.794907,0.015528,0.053662
3.799907,0.017022,0.053666
3.804907,0.018546,0.053671
3.809906,0.019368,0.053675
3.814906,0.021087,0.053681
3.819906,0.021612,0.053684
3.824905,0.026978,0.053690
3.829905,0.027839,0.053694
3.834904,0.031960,0.053699
3.839904,0.030657,0.053703
3.844904,0.031356,0.053709
3.849903,0.031112,0.053712
3.854903,0.028921,0.053718
3.859903,0.028635,0.053722
3.864902,0.028870,0.053727
3.869902,0.030031,0.053731
3.874902,0.030789,0.053736
3.879901,0.033396,0.053740
3.884901,0.032880,0.053746
3.889900,0.034592,0.053749
3.894900,0.031407,0.053755
3.899900,0.030652,0.053759
3.904899,0.031103,0.053764
3.909899,0.030194,0.053768
3.914899,0.029667,0.053774
3.919898,0.029063,0.053777
3.924898,0.030591,0.053783
3.929898,0.029348,0.053787
3.934897,0.027931,0.053792
3.939897,0.028686,0.053796
3.944896,0.030335,0.053802
3.949896,0.029245,0.053805
3.954896,0.030902,0.053811
3.959895,0.032817,0.053815
3.964895,0.032126,0.053820
3.969895,0.033074,0.053824
3.974894,0.032741,0.053829
3.979894,0.032783,0.053833
3.984894,0.037145,0.053839
3.989893,0.035484,0.053842
3.994893,0.033533,0.053848
3.999892,0.035715,0.053852
4.004892,0.034432,0.053857
4.009892,0.034108,0.053861
4.014892,0.034920,0.053867
4.019891,0.039405,0.053870
4.024891,0.039528,0.053876
4.029891,0.038438,0.053880
4.034890,0.039095,0.053885
4.039890,0.036971,0.053889
4.044889,0.035406,0.053894
4.049889,0.034194,0.053898
4.054889,0.033882,0.053904
4.059888,0.032985,0.053907
4.064888,0.029055,0.053913
4.069888,0.027065,0.053917
4.074887,0.027798,0.053922
4.079887,0.028306,0.053926
4.084887,0.025065,0.053931
4.089886,0.023344,0.053935
4.094886,0.020252,0.053941
4.099885,0.020156,0.053944
4.104885,0.016936,0.053950
4.109885,0.017380,0.053954
4.114884,0.014766,0.053959
4.119884,0.011164,0.053963
4.124884,0.012970,0.053969
4.129883,0.012526,0.053972
4.134883,0.011081,0.053978
4.139883,0.011885,0.053982
4.144882,0.009175,0.053987
4.149882,0.009232,0.053991
4.154881,0.006987,0.053996
4.159881,0.007393,0.054000
4.164881,0.006213,0.054006
4.169880,0.004803,0.054009
4.174880,0.002676,0.054015
4.179880,-0.000865,0.054019
4.184879,-0.002568,0.054024
4.189879,-0.002834,0.054028
4.194879,-0.006320,0.054033
4.199878,-0.008456,0.054037
4.204878,-0.010466,0.054043
4.209877,-0.011774,0.054046
4.214877,-0.013736,0.054052
4.219877,-0.012826,0.054056
4.224876,-0.014640,0.054061
4.229876,-0.012226,0.054065
4.234876,-0.013760,0.054070
4.239875,-0.010652,0.054074
4.244875,-0.011818,0.054080
4.249875,-0.012381,0.054083
4.254874,-0.014094,0.054089
4.259874,-0.012715,0.054093
4.264874,-0.014578,0.054098
4.269873,-0.016991,0.054102
4.274873,-0.017821,0.054107
4.279872,-0.018347,0.054111
4.284872,-0.020196,0.054117
4.289872,-0.017578,0.054120
4.294871,-0.015008,0.054126
4.299871,-0.012420,0.054130
4.304871,-0.012110,0.054135
4.309870,-0.013423,0.054139
4.314870,-0.008801,0.054144
4.319870,-0.008846,0.054148
4.324869,-0.012262,0.054154
4.329869,-0.011088,0.054157
4.334868,-0.007777,0.054163
4.339868,-0.008594,0.054166
4.344868,-0.009659,0.054172
4.349867,-0.008597,0.054176
4.354867,-0.011570,0.054181
4.359867,-0.009490,0.054185
4.364866,-0.008557,0.054190
4.369866,-0.007899,0.054194
4.374866,-0.006813,0.054200
4.379865,-0.005334,0.054203
4.384865,-0.006812,0.054209
4.389864,-0.004396,0.054213
4.394864,-0.004992,0.054218
4.399864,-0.003727,0.054222
4.404863,-0.003039,0.054227
4.409863,-0.001998,0.054231
4.414863,-0.000566,0.054237
4.419862,0.001622,0.054240
4.424862,0.000205,0.054246
4.429862,0.003336,0.054249
4.434861,0.004738,0.054255
4.439861,0.007127,0.054259
4.444860,0.008750,0.054264
4.449860,0.009003,0.054268
4.454860,0.006287,0.054273
4.459859,0.006230,0.054277
